name,description,location,latitude,longitude,city,country
Villa Prague Inn,Comfortable rooms with easy access to Charles Bridge and the Old Town Square.,"Prague, Czech Republic",50.0761,14.4294,Prague,Czech Republic
Boutique Helsinki Hotel,Comfortable rooms with easy access to the market square and the design district.,"Helsinki, Finland",60.1643,24.9516,Helsinki,Finland
Royal Bath Inn,Comfortable rooms with easy access to the Roman Baths and the Georgian crescents.,"Bath, United Kingdom",51.3882,-2.3584,Bath,United Kingdom
Grand Athens Retreat,"Quiet, well-located rooms minutes from the Acropolis and the Plaka district.","Athens, Greece",37.9809,23.7162,Athens,Greece
Harbor Warsaw Retreat,"A charming property close to the reconstructed old town, in the heart of Warsaw.","Warsaw, Poland",52.2426,21.0188,Warsaw,Poland
Central Reykjavik Boutique,Comfortable rooms with easy access to the Hallgrímskirkja and the old harbor.,"Reykjavik, Iceland",64.1364,-21.9319,Reykjavik,Iceland
Boutique Split Suites,Comfortable rooms with easy access to Diocletian's Palace and the Riva promenade.,"Split, Croatia",43.5137,16.4436,Split,Croatia
Alpine Cologne Residence,"A welcoming stay near the cathedral, a short walk from the Rhine promenade.","Cologne, Germany",50.9447,6.9753,Cologne,Germany
Old Town Cologne Manor,"Modern comfort just steps from the cathedral, near the Rhine promenade.","Cologne, Germany",50.9517,6.9667,Cologne,Germany
Harbor London Suites,"Modern comfort just steps from the Thames, near Covent Garden.","London, United Kingdom",51.5219,-0.1259,London,United Kingdom
Coastal Budapest Boutique,Comfortable rooms with easy access to the thermal baths and the Danube promenade.,"Budapest, Hungary",47.4965,19.0276,Budapest,Hungary
Coastal Vienna Lodge,Comfortable rooms with easy access to the State Opera and Schönbrunn Palace.,"Vienna, Austria",48.1994,16.3604,Vienna,Austria
Old Town Munich House,"Quiet, well-located rooms minutes from Marienplatz and the English Garden.","Munich, Germany",48.1283,11.5819,Munich,Germany
Heritage Seville Plaza,"Modern comfort just steps from the flamenco quarter, near the riverside gardens.","Seville, Spain",37.3845,-5.9744,Seville,Spain
Vintage Amsterdam Inn,"A welcoming stay near the canal ring, a short walk from the Rijksmuseum.","Amsterdam, Netherlands",52.3779,4.9094,Amsterdam,Netherlands
Vintage Lucerne Boutique,"A welcoming stay near the Chapel Bridge, a short walk from the surrounding mountains.","Lucerne, Switzerland",47.0619,8.3032,Lucerne,Switzerland
Alpine Zurich House,"A welcoming stay near Lake Zurich, a short walk from the old town.","Zurich, Switzerland",47.3669,8.5548,Zurich,Switzerland
Garden Prague Hotel,Comfortable rooms with easy access to Charles Bridge and the Old Town Square.,"Prague, Czech Republic",50.0902,14.4391,Prague,Czech Republic
Skyline Prague Lodge,"A charming property close to Charles Bridge, in the heart of Prague.","Prague, Czech Republic",50.0680,14.4316,Prague,Czech Republic
Central Stockholm Lodge,"A welcoming stay near Gamla Stan, a short walk from the archipelago views.","Stockholm, Sweden",59.3200,18.0763,Stockholm,Sweden
Vintage Vienna House,"Quiet, well-located rooms minutes from the State Opera and Schönbrunn Palace.","Vienna, Austria",48.2046,16.3785,Vienna,Austria
Skyline Athens House,Comfortable rooms with easy access to the Acropolis and the Plaka district.,"Athens, Greece",37.9949,23.7367,Athens,Greece
Vintage Porto Hotel,"Quiet, well-located rooms minutes from the Ribeira waterfront and the Dom Luís bridge.","Porto, Portugal",41.1530,-8.6188,Porto,Portugal
Coastal Venice Boutique,Comfortable rooms with easy access to the Grand Canal and St Mark’s Square.,"Venice, Italy",45.4261,12.3038,Venice,Italy
Palazzo Seville Lodge,"Modern comfort just steps from the Alcázar, near Plaza de España.","Seville, Spain",37.4023,-5.9951,Seville,Spain
Coastal Porto Lodge,"Modern comfort just steps from the Ribeira waterfront, near the Dom Luís bridge.","Porto, Portugal",41.1429,-8.6384,Porto,Portugal
Grand Florence Plaza,"A welcoming stay near the Duomo, a short walk from the Ponte Vecchio.","Florence, Italy",43.7622,11.2422,Florence,Italy
Central Split Manor,"A welcoming stay near Diocletian's Palace, a short walk from the Riva promenade.","Split, Croatia",43.5127,16.4532,Split,Croatia
Vintage Seville Inn,"Quiet, well-located rooms minutes from the Alcázar and Plaza de España.","Seville, Spain",37.3965,-5.9915,Seville,Spain
Royal Hamburg Hotel,Comfortable rooms with easy access to the Speicherstadt warehouses and the harbor.,"Hamburg, Germany",53.5637,10.0084,Hamburg,Germany
Palazzo Athens Boutique,"A charming property close to the Acropolis, in the heart of Athens.","Athens, Greece",37.9745,23.7199,Athens,Greece
Boutique Amsterdam Boutique,"A welcoming stay near the canal ring, a short walk from the Rijksmuseum.","Amsterdam, Netherlands",52.3562,4.9117,Amsterdam,Netherlands
Palazzo Rotterdam Boutique,"Modern comfort just steps from the Cube Houses, near the Erasmus Bridge.","Rotterdam, Netherlands",51.9181,4.4920,Rotterdam,Netherlands
Heritage Innsbruck Retreat,"A welcoming stay near the Golden Roof, a short walk from the surrounding Alps.","Innsbruck, Austria",47.2806,11.4000,Innsbruck,Austria
Harbor Amsterdam Lodge,"Quiet, well-located rooms minutes from the canal ring and the Rijksmuseum.","Amsterdam, Netherlands",52.3722,4.9093,Amsterdam,Netherlands
Palazzo Copenhagen Retreat,"Quiet, well-located rooms minutes from Nyhavn harbor and Tivoli Gardens.","Copenhagen, Denmark",55.6785,12.5757,Copenhagen,Denmark
Alpine Dubrovnik House,"Modern comfort just steps from the old city walls, near the harbor.","Dubrovnik, Croatia",42.6642,18.1061,Dubrovnik,Croatia
Boutique Edinburgh Retreat,"A charming property close to the Royal Mile, in the heart of Edinburgh.","Edinburgh, Scotland",55.9600,-3.1877,Edinburgh,Scotland
Central Salzburg Manor,"A charming property close to the Salzach river, in the heart of Salzburg.","Salzburg, Austria",47.7975,13.0476,Salzburg,Austria
Harbor Split Suites,"Quiet, well-located rooms minutes from Diocletian's Palace and the Riva promenade.","Split, Croatia",43.5224,16.4400,Split,Croatia
Central Berlin Inn,"A charming property close to the Brandenburg Gate, in the heart of Berlin.","Berlin, Germany",52.5275,13.4112,Berlin,Germany
Alpine Barcelona Boutique,"Modern comfort just steps from Las Ramblas, near the Gothic Quarter.","Barcelona, Spain",41.3963,2.1695,Barcelona,Spain
Harbor Valencia Manor,Comfortable rooms with easy access to the City of Arts and Sciences and the old silk exchange.,"Valencia, Spain",39.4665,-0.3652,Valencia,Spain
Palazzo Granada Manor,"Modern comfort just steps from the Alhambra, near the Albaicín quarter.","Granada, Spain",37.1820,-3.6126,Granada,Spain
Villa Edinburgh Plaza,Comfortable rooms with easy access to the Royal Mile and Edinburgh Castle.,"Edinburgh, Scotland",55.9505,-3.1995,Edinburgh,Scotland
Grand Vienna Suites,"A charming property close to the State Opera, in the heart of Vienna.","Vienna, Austria",48.2001,16.3874,Vienna,Austria
Heritage Brussels Retreat,"A welcoming stay near the Grand Place, a short walk from the EU quarter.","Brussels, Belgium",50.8595,4.3489,Brussels,Belgium
Vintage Valencia Hotel,"A welcoming stay near the City of Arts and Sciences, a short walk from the old silk exchange.","Valencia, Spain",39.4826,-0.3679,Valencia,Spain
Villa Verona Residence,"A charming property close to the Roman arena, in the heart of Verona.","Verona, Italy",45.4453,10.9807,Verona,Italy
Riverside Budapest Suites,Comfortable rooms with easy access to the thermal baths and the Danube promenade.,"Budapest, Hungary",47.4837,19.0442,Budapest,Hungary
Coastal Florence Suites,Comfortable rooms with easy access to the Duomo and the Ponte Vecchio.,"Florence, Italy",43.7558,11.2533,Florence,Italy
Old Town Granada Hotel,"A charming property close to the Alhambra, in the heart of Granada.","Granada, Spain",37.1705,-3.6020,Granada,Spain
Villa Rome Boutique,Comfortable rooms with easy access to the Trevi Fountain and the Pantheon.,"Rome, Italy",41.8904,12.4952,Rome,Italy
Villa London Retreat,"A charming property close to the Thames, in the heart of London.","London, United Kingdom",51.5097,-0.1339,London,United Kingdom
Heritage Geneva Manor,"Modern comfort just steps from the Jet d’Eau fountain, near the lakeside promenade.","Geneva, Switzerland",46.1915,6.1292,Geneva,Switzerland
Harbor Stockholm Plaza,Comfortable rooms with easy access to Gamla Stan and the archipelago views.,"Stockholm, Sweden",59.3218,18.0614,Stockholm,Sweden
Garden Seville Plaza,"Modern comfort just steps from the flamenco quarter, near the riverside gardens.","Seville, Spain",37.3875,-5.9770,Seville,Spain
Palazzo Verona Retreat,"Quiet, well-located rooms minutes from the Roman arena and Romeo and Juliet's balcony.","Verona, Italy",45.4298,10.9903,Verona,Italy
Alpine Oslo Manor,"A welcoming stay near the fjord waterfront, a short walk from the Opera House.","Oslo, Norway",59.9069,10.7625,Oslo,Norway
Grand Krakow Suites,"Quiet, well-located rooms minutes from the main market square and Wawel Castle.","Krakow, Poland",50.0783,19.9489,Krakow,Poland
Garden Verona Retreat,"A welcoming stay near the Roman arena, a short walk from Romeo and Juliet's balcony.","Verona, Italy",45.4490,10.9802,Verona,Italy
Villa Lisbon Boutique,Comfortable rooms with easy access to the Alfama district and the Belém Tower.,"Lisbon, Portugal",38.7074,-9.1366,Lisbon,Portugal
Heritage Prague House,"A charming property close to Charles Bridge, in the heart of Prague.","Prague, Czech Republic",50.0817,14.4357,Prague,Czech Republic
Palazzo Paris Residence,"A welcoming stay near the Eiffel Tower, a short walk from the Louvre.","Paris, France",48.8643,2.3474,Paris,France
Central Venice Retreat,"A welcoming stay near the Grand Canal, a short walk from St Mark’s Square.","Venice, Italy",45.4268,12.3221,Venice,Italy
Harbor Cologne Plaza,"A charming property close to the cathedral, in the heart of Cologne.","Cologne, Germany",50.9500,6.9499,Cologne,Germany
Villa Edinburgh House,"A welcoming stay near the Royal Mile, a short walk from Edinburgh Castle.","Edinburgh, Scotland",55.9436,-3.1776,Edinburgh,Scotland
Royal Lisbon House,"A charming property close to the Alfama district, in the heart of Lisbon.","Lisbon, Portugal",38.7185,-9.1534,Lisbon,Portugal
Old Town Innsbruck Inn,"Quiet, well-located rooms minutes from the Golden Roof and the surrounding Alps.","Innsbruck, Austria",47.2729,11.4101,Innsbruck,Austria
Old Town Helsinki Inn,"A welcoming stay near the market square, a short walk from the design district.","Helsinki, Finland",60.1624,24.9289,Helsinki,Finland
Royal Berlin House,"A welcoming stay near the Brandenburg Gate, a short walk from the Museum Island.","Berlin, Germany",52.5344,13.4060,Berlin,Germany
Central Krakow Lodge,"A charming property close to the main market square, in the heart of Krakow.","Krakow, Poland",50.0702,19.9454,Krakow,Poland
Central Santorini Boutique,"A charming property close to the caldera cliffs, in the heart of Santorini.","Santorini, Greece",36.3983,25.4677,Santorini,Greece
Palazzo Split Hotel,"Modern comfort just steps from Diocletian's Palace, near the Riva promenade.","Split, Croatia",43.5147,16.4407,Split,Croatia
Riverside Edinburgh Suites,"A charming property close to the Royal Mile, in the heart of Edinburgh.","Edinburgh, Scotland",55.9584,-3.1932,Edinburgh,Scotland
Alpine Seville Inn,Comfortable rooms with easy access to the Alcázar and Plaza de España.,"Seville, Spain",37.4037,-5.9928,Seville,Spain
Old Town Bath Lodge,"A charming property close to the Roman Baths, in the heart of Bath.","Bath, United Kingdom",51.3940,-2.3703,Bath,United Kingdom
Palazzo Dubrovnik Inn,"Modern comfort just steps from the old city walls, near the harbor.","Dubrovnik, Croatia",42.6466,18.0998,Dubrovnik,Croatia
